aldo_pH7p5_Elution1_0022_circles#_8_sc.txt - 1.00000 * Buffer_21.dat
 Q 	 I(Q) 	 ecart_type
     0.000000	          NaN	          NaN
  0.000571473	          NaN	          NaN
   0.00114295	          NaN	          NaN
   0.00171442	          NaN	          NaN
   0.00228589	          NaN	          NaN
   0.00285737	          NaN	          NaN
   0.00342884	          NaN	          NaN
   0.00400031	          NaN	          NaN
   0.00457179	          NaN	          NaN
   0.00514326	          NaN	          NaN
   0.00571473	          NaN	          NaN
   0.00628620	 1.32220e-005	 8.17463e-006
   0.00685768	 1.32860e-005	 4.97574e-006
   0.00742915	 1.44080e-005	 3.84696e-006
   0.00800062	 6.80001e-006	 2.74113e-006
   0.00857209	 8.54699e-006	 2.24734e-006
   0.00914356	 1.02850e-005	 1.94231e-006
   0.00971504	 7.36301e-006	 1.69958e-006
    0.0102865	 6.74900e-006	 1.52097e-006
    0.0108580	 6.57400e-006	 1.32193e-006
    0.0114295	 6.41499e-006	 1.18833e-006
    0.0120009	 4.18699e-006	 1.08005e-006
    0.0125724	 2.73600e-006	 1.00529e-006
    0.0131439	 3.20601e-006	 9.56689e-007
    0.0137153	 4.40300e-006	 9.20104e-007
    0.0142868	 3.91400e-006	 8.81953e-007
    0.0148583	 3.21000e-006	 8.51211e-007
    0.0154297	 2.32650e-006	 8.18440e-007
    0.0160012	 1.56750e-006	 7.90374e-007
    0.0165727	 1.77070e-006	 7.71731e-007
    0.0171441	 5.69198e-007	 7.46971e-007
    0.0177156	 8.08497e-007	 7.28088e-007
    0.0182871	 9.34902e-007	 7.11864e-007
    0.0188586	 4.43404e-007	 6.92927e-007
    0.0194300	 2.48096e-007	 6.79280e-007
    0.0200015	 3.98068e-008	 6.65008e-007
    0.0205729	-2.38600e-007	 6.49092e-007
    0.0211444	-3.65500e-007	 6.36531e-007
    0.0217159	-3.72602e-007	 6.24025e-007
    0.0222873	 5.15000e-007	 6.17937e-007
    0.0228588	 1.20750e-006	 6.09065e-007
    0.0234303	 4.65901e-007	 5.95540e-007
    0.0240017	-7.59974e-008	 5.84035e-007
    0.0245732	 1.95003e-007	 5.74210e-007
    0.0251447	-1.04199e-007	 5.64725e-007
    0.0257161	 1.77904e-007	 5.56121e-007
    0.0262876	 3.62204e-007	 5.47386e-007
    0.0268590	 3.78401e-007	 5.40926e-007
    0.0274305	-6.20057e-008	 5.31995e-007
    0.0280020	 4.79995e-008	 5.24604e-007
    0.0285734	 2.95200e-007	 5.18940e-007
    0.0291449	 7.45298e-007	 5.13817e-007
    0.0297163	-1.61795e-007	 5.04759e-007
    0.0302878	-4.37598e-007	 4.98046e-007
    0.0308593	-5.61799e-007	 4.91319e-007
    0.0314307	-1.65397e-007	 4.85709e-007
    0.0320022	 2.77498e-007	 4.82667e-007
    0.0325736	-5.67299e-007	 4.73560e-007
    0.0331451	-1.06340e-006	 4.66088e-007
    0.0337165	-1.04300e-006	 4.62597e-007
    0.0342880	-8.85200e-007	 4.57831e-007
    0.0348594	-1.07970e-006	 4.52169e-007
